4l2h16d		 >> early stop 0.8		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9785		eval_len101-150_acc: 0.9025 		lr: 0.001
4l2h16d		 reach max step		 eval_len0-50_acc: 0.6235		eval_len51-100_acc: 0.4435		eval_len101-150_acc: 0.3675 		lr: 0.0001
4l2h64d		 >> early stop 0.8		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.991		eval_len101-150_acc: 0.9475 		lr: 0.001
4l2h64d		 >> early stop 0.9		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9865		eval_len101-150_acc: 0.944 		lr: 0.0001
4l2h256d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.983		eval_len101-150_acc: 0.9275 		lr: 0.001
4l2h256d		 >> early stop 0.7		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9835		eval_len101-150_acc: 0.9605 		lr: 0.0001
4l4h16d		 >> early stop 0.9		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.977		eval_len101-150_acc: 0.864 		lr: 0.001
4l4h16d		 reach max step		 eval_len0-50_acc: 0.4525		eval_len51-100_acc: 0.304		eval_len101-150_acc: 0.2515 		lr: 0.0001
4l4h64d		 >> early stop 1.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.994		eval_len101-150_acc: 0.943 		lr: 0.001
4l4h64d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.963		eval_len101-150_acc: 0.8785 		lr: 0.0001
4l4h256d		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.9975 		lr: 0.001
