lm0.0reg2l2h64d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.971		eval_len50-74_acc: 0.8025		eval_len75-99_acc: 0.5055		eval_len100-124_acc: 0.339		eval_len125-149_acc: 0.2835		lr: 0.001
lm0.0reg2l2h64d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.8155		eval_len25-49_acc: 0.385		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg2l2h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.9245		eval_len25-49_acc: 0.162		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg2l2h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.847		eval_len25-49_acc: 0.494		eval_len50-74_acc: 0.0795		eval_len75-99_acc: 0.007		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg2l2h64d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.9915		eval_len50-74_acc: 0.9475		eval_len75-99_acc: 0.828		eval_len100-124_acc: 0.5095		eval_len125-149_acc: 0.2615		lr: 0.001
lm0.0reg2l2h64d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.8155		eval_len25-49_acc: 0.385		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg2l2h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.9245		eval_len25-49_acc: 0.162		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg2l2h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.847		eval_len25-49_acc: 0.494		eval_len50-74_acc: 0.0795		eval_len75-99_acc: 0.007		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg2l2h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.985		eval_len50-74_acc: 0.907		eval_len75-99_acc: 0.869		eval_len100-124_acc: 0.8305		eval_len125-149_acc: 0.74		lr: 0.001
lm0.0reg2l2h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.9675		eval_len50-74_acc: 0.853		eval_len75-99_acc: 0.741		eval_len100-124_acc: 0.747		eval_len125-149_acc: 0.641		lr: 0.0001
lm0.0reg2l2h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.9825		eval_len50-74_acc: 0.931		eval_len75-99_acc: 0.891		eval_len100-124_acc: 0.869		eval_len125-149_acc: 0.864		lr: 0.001
lm0.0reg2l2h256d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.9875		eval_len50-74_acc: 0.8855		eval_len75-99_acc: 0.6705		eval_len100-124_acc: 0.525		eval_len125-149_acc: 0.363		lr: 0.0001
lm0.0reg2l2h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.985		eval_len50-74_acc: 0.907		eval_len75-99_acc: 0.869		eval_len100-124_acc: 0.8305		eval_len125-149_acc: 0.74		lr: 0.001
lm0.0reg2l2h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.9675		eval_len50-74_acc: 0.853		eval_len75-99_acc: 0.741		eval_len100-124_acc: 0.747		eval_len125-149_acc: 0.641		lr: 0.0001
lm0.0reg2l2h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.9825		eval_len50-74_acc: 0.931		eval_len75-99_acc: 0.891		eval_len100-124_acc: 0.869		eval_len125-149_acc: 0.864		lr: 0.001
