hyb2l1h16d0.1dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9595		eval_len101-150_acc: 0.8955 		lr: 0.001
hyb2l1h16d0.1dr		 >> reach max step		 eval_len0-50_acc: 0.998		eval_len51-100_acc: 0.932		eval_len101-150_acc: 0.8445 		lr: 0.0001
hyb2l1h64d0dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9325		eval_len101-150_acc: 0.8905 		lr: 0.001
hyb2l1h64d0dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.8565		eval_len101-150_acc: 0.75 		lr: 0.0001
hyb2l1h64d0.1dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.974		eval_len101-150_acc: 0.9225 		lr: 0.001
hyb2l1h64d0.1dr		 >> early stop 0.5		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9525		eval_len101-150_acc: 0.874 		lr: 0.0001
hyb2l1h256d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9465		eval_len101-150_acc: 0.8925 		lr: 0.001
hyb2l1h256d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.905		eval_len101-150_acc: 0.8385 		lr: 0.0001
hyb2l1h256d0.1dr		 >> early stop 0.4		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9925		eval_len101-150_acc: 0.9695 		lr: 0.001
hyb2l1h256d0.1dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9905		eval_len101-150_acc: 0.9335 		lr: 0.0001
hyb2l2h16d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.74		eval_len101-150_acc: 0.5855 		lr: 0.001
hyb2l2h16d0dr		 >> early stop 0.6		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.8865		eval_len101-150_acc: 0.817 		lr: 0.0001
hyb2l2h16d0.1dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9865		eval_len101-150_acc: 0.9665 		lr: 0.001
hyb2l2h16d0.1dr		 >> reach max step		 eval_len0-50_acc: 0.999		eval_len51-100_acc: 0.909		eval_len101-150_acc: 0.768 		lr: 0.0001
hyb2l2h64d0dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9995		eval_len101-150_acc: 0.9965 		lr: 0.001
hyb2l2h64d0dr		 >> early stop 0.3		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.864		eval_len101-150_acc: 0.765 		lr: 0.0001
hyb2l2h64d0.1dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9915		eval_len101-150_acc: 0.9715 		lr: 0.001
hyb2l2h64d0.1dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9385		eval_len101-150_acc: 0.896 		lr: 0.0001
hyb2l2h256d0dr		 >> early stop 0.1		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.954		eval_len101-150_acc: 0.8725 		lr: 0.001
hyb2l2h256d0dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.943		eval_len101-150_acc: 0.876 		lr: 0.0001
hyb2l2h256d0.1dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.9965		eval_len101-150_acc: 0.979 		lr: 0.001
hyb2l2h256d0.1dr		 >> early stop 0.2		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.9975 		lr: 0.0001
