lm0.0reg2l4h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.996		eval_len50-74_acc: 0.831		eval_len75-99_acc: 0.081		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg2l4h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.1465		eval_len25-49_acc: 0.0		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg2l4h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.9825		eval_len50-74_acc: 0.9095		eval_len75-99_acc: 0.5485		eval_len100-124_acc: 0.1825		eval_len125-149_acc: 0.044		lr: 0.001
lm0.0reg2l4h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.9985		eval_len25-49_acc: 0.1495		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg2l4h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.84		eval_len50-74_acc: 0.3755		eval_len75-99_acc: 0.1525		eval_len100-124_acc: 0.023		eval_len125-149_acc: 0.0055		lr: 0.001
lm0.0reg2l4h256d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.9995		eval_len25-49_acc: 0.095		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg2l4h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.9825		eval_len50-74_acc: 0.9095		eval_len75-99_acc: 0.5485		eval_len100-124_acc: 0.1825		eval_len125-149_acc: 0.044		lr: 0.001
lm0.0reg2l4h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.9985		eval_len25-49_acc: 0.1495		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg2l4h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.84		eval_len50-74_acc: 0.3755		eval_len75-99_acc: 0.1525		eval_len100-124_acc: 0.023		eval_len125-149_acc: 0.0055		lr: 0.001
lm0.0reg2l4h256d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.9995		eval_len25-49_acc: 0.095		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
