lm0.0reg2l4h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6755		eval_len25-49_acc: 0.5045		eval_len50-74_acc: 0.487		eval_len75-99_acc: 0.503		eval_len100-124_acc: 0.519		eval_len125-149_acc: 0.5115		lr: 0.001
lm0.0reg2l4h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.6865		eval_len25-49_acc: 0.4935		eval_len50-74_acc: 0.4915		eval_len75-99_acc: 0.503		eval_len100-124_acc: 0.5195		eval_len125-149_acc: 0.511		lr: 0.0001
lm0.0reg2l4h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.664		eval_len25-49_acc: 0.4855		eval_len50-74_acc: 0.5265		eval_len75-99_acc: 0.501		eval_len100-124_acc: 0.489		eval_len125-149_acc: 0.4915		lr: 0.001
lm0.0reg2l4h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.6745		eval_len25-49_acc: 0.514		eval_len50-74_acc: 0.508		eval_len75-99_acc: 0.5025		eval_len100-124_acc: 0.4835		eval_len125-149_acc: 0.4745		lr: 0.0001
lm0.0reg2l4h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6495		eval_len25-49_acc: 0.4915		eval_len50-74_acc: 0.5045		eval_len75-99_acc: 0.4865		eval_len100-124_acc: 0.501		eval_len125-149_acc: 0.498		lr: 0.001
lm0.0reg2l4h256d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.686		eval_len25-49_acc: 0.5035		eval_len50-74_acc: 0.492		eval_len75-99_acc: 0.5085		eval_len100-124_acc: 0.522		eval_len125-149_acc: 0.5095		lr: 0.0001
lm0.0reg2l4h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.664		eval_len25-49_acc: 0.4855		eval_len50-74_acc: 0.5265		eval_len75-99_acc: 0.501		eval_len100-124_acc: 0.489		eval_len125-149_acc: 0.4915		lr: 0.001
lm0.0reg2l4h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.6745		eval_len25-49_acc: 0.514		eval_len50-74_acc: 0.508		eval_len75-99_acc: 0.5025		eval_len100-124_acc: 0.4835		eval_len125-149_acc: 0.4745		lr: 0.0001
lm0.0reg2l4h256d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6495		eval_len25-49_acc: 0.4915		eval_len50-74_acc: 0.5045		eval_len75-99_acc: 0.4865		eval_len100-124_acc: 0.501		eval_len125-149_acc: 0.498		lr: 0.001
lm0.0reg2l4h256d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.686		eval_len25-49_acc: 0.5035		eval_len50-74_acc: 0.492		eval_len75-99_acc: 0.5085		eval_len100-124_acc: 0.522		eval_len125-149_acc: 0.5095		lr: 0.0001
