task,model,learning_rate,bucket,accuracy,arch,layers,heads,d_model,dropout,mlp_size,kernel,pe,ln,ne,train_steps_k,layer_order
addition,lm1l1h256d,0.0001,101-150,0.0,lm,1,1,256,-,-,-,-,-,-,-,-
addition,lm1l2h16d,0.001,0-50,0.022,lm,1,2,16,-,-,-,-,-,-,-,-
addition,lm1l2h16d,0.001,51-100,0.0,lm,1,2,16,-,-,-,-,-,-,-,-
addition,lm1l2h16d,0.001,101-150,0.0,lm,1,2,16,-,-,-,-,-,-,-,-
addition,lm1l2h16d,0.0001,0-50,0.021,lm,1,2,16,-,-,-,-,-,-,-,-
addition,lm1l2h16d,0.0001,51-100,0.0,lm,1,2,16,-,-,-,-,-,-,-,-
addition,lm1l2h16d,0.0001,101-150,0.0,lm,1,2,16,-,-,-,-,-,-,-,-
addition,lm1l2h64d,0.001,0-50,0.0625,lm,1,2,64,-,-,-,-,-,-,-,-
addition,lm1l2h64d,0.001,51-100,0.0,lm,1,2,64,-,-,-,-,-,-,-,-
addition,lm1l2h64d,0.001,101-150,0.0,lm,1,2,64,-,-,-,-,-,-,-,-
addition,lm1l2h64d,0.0001,0-50,0.015,lm,1,2,64,-,-,-,-,-,-,-,-
addition,lm1l2h64d,0.0001,51-100,0.0,lm,1,2,64,-,-,-,-,-,-,-,-
addition,lm1l2h64d,0.0001,101-150,0.0,lm,1,2,64,-,-,-,-,-,-,-,-
addition,lm1l2h256d,0.001,0-50,0.0435,lm,1,2,256,-,-,-,-,-,-,-,-
addition,lm1l2h256d,0.001,51-100,0.0,lm,1,2,256,-,-,-,-,-,-,-,-
addition,lm1l2h256d,0.001,101-150,0.0,lm,1,2,256,-,-,-,-,-,-,-,-
addition,lm1l2h256d,0.0001,0-50,0.0505,lm,1,2,256,-,-,-,-,-,-,-,-
addition,lm1l2h256d,0.0001,51-100,0.0,lm,1,2,256,-,-,-,-,-,-,-,-
addition,lm1l2h256d,0.0001,101-150,0.0,lm,1,2,256,-,-,-,-,-,-,-,-
addition,lm1l4h16d,0.001,0-50,0.015,lm,1,4,16,-,-,-,-,-,-,-,-
addition,lm1l4h16d,0.001,51-100,0.0,lm,1,4,16,-,-,-,-,-,-,-,-
addition,lm1l4h16d,0.001,101-150,0.0,lm,1,4,16,-,-,-,-,-,-,-,-
addition,lm1l4h16d,0.0001,0-50,0.021,lm,1,4,16,-,-,-,-,-,-,-,-
addition,lm1l4h16d,0.0001,51-100,0.0,lm,1,4,16,-,-,-,-,-,-,-,-
addition,lm1l4h16d,0.0001,101-150,0.0,lm,1,4,16,-,-,-,-,-,-,-,-
addition,lm1l4h64d,0.001,0-50,0.072,lm,1,4,64,-,-,-,-,-,-,-,-
addition,lm1l4h64d,0.001,51-100,0.0,lm,1,4,64,-,-,-,-,-,-,-,-
addition,lm1l4h64d,0.001,101-150,0.0,lm,1,4,64,-,-,-,-,-,-,-,-
addition,lm1l4h64d,0.0001,0-50,0.018,lm,1,4,64,-,-,-,-,-,-,-,-
addition,lm1l4h64d,0.0001,51-100,0.0,lm,1,4,64,-,-,-,-,-,-,-,-
addition,lm1l4h64d,0.0001,101-150,0.0,lm,1,4,64,-,-,-,-,-,-,-,-
addition,lm1l4h256d,0.001,0-50,0.03,lm,1,4,256,-,-,-,-,-,-,-,-
addition,lm1l4h256d,0.001,51-100,0.0,lm,1,4,256,-,-,-,-,-,-,-,-
