task,model,learning_rate,bucket,accuracy,arch,layers,heads,d_model,dropout,mlp_size,kernel,pe,ln,train_steps_k,layer_order
addition,hybsas41l2h4d0.1dr2mlppenolnstp30k0.001lr,0.001,0-49,0.015,hyb,1,2,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l2h4d0.1dr2mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,1,2,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l2h4d0.1dr1mlppenolnstp30k0.0001lr,0.0001,0-49,0.0,hyb,1,2,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l2h4d0.1dr1mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,2,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l2h4d0.1dr2mlppenolnstp30k0.0001lr,0.0001,0-49,0.0,hyb,1,2,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l2h4d0.1dr2mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,2,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l2h16d0dr1mlppenolnstp30k0.001lr,0.001,0-49,1.0,hyb,1,2,16,0,1,s4,True,False,30,sa
addition,hybsas41l2h16d0dr1mlppenolnstp30k0.001lr,0.001,50-99,0.2475,hyb,1,2,16,0,1,s4,True,False,30,sa
addition,hybsas41l2h16d0dr2mlppenolnstp30k0.001lr,0.001,0-49,0.999,hyb,1,2,16,0,2,s4,True,False,30,sa
addition,hybsas41l2h16d0dr2mlppenolnstp30k0.001lr,0.001,50-99,0.3255,hyb,1,2,16,0,2,s4,True,False,30,sa
addition,hybsas41l2h16d0dr1mlppenolnstp30k0.0001lr,0.0001,0-49,0.0155,hyb,1,2,16,0,1,s4,True,False,30,sa
addition,hybsas41l2h16d0dr1mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,2,16,0,1,s4,True,False,30,sa
addition,hybsas41l2h16d0dr2mlppenolnstp30k0.0001lr,0.0001,0-49,0.014,hyb,1,2,16,0,2,s4,True,False,30,sa
addition,hybsas41l2h16d0dr2mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,2,16,0,2,s4,True,False,30,sa
addition,hybsas41l2h16d0.1dr1mlppenolnstp30k0.001lr,0.001,0-49,0.99,hyb,1,2,16,0.1,1,s4,True,False,30,sa
addition,hybsas41l2h16d0.1dr1mlppenolnstp30k0.001lr,0.001,50-99,0.7355,hyb,1,2,16,0.1,1,s4,True,False,30,sa
addition,hybsas41l2h16d0.1dr2mlppenolnstp30k0.001lr,0.001,0-49,0.9725,hyb,1,2,16,0.1,2,s4,True,False,30,sa
addition,hybsas41l2h16d0.1dr2mlppenolnstp30k0.001lr,0.001,50-99,0.829,hyb,1,2,16,0.1,2,s4,True,False,30,sa
addition,hybsas41l2h16d0.1dr1mlppenolnstp30k0.0001lr,0.0001,0-49,0.0145,hyb,1,2,16,0.1,1,s4,True,False,30,sa
addition,hybsas41l2h16d0.1dr1mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,2,16,0.1,1,s4,True,False,30,sa
addition,hybsas41l2h16d0.1dr2mlppenolnstp30k0.0001lr,0.0001,0-49,0.013,hyb,1,2,16,0.1,2,s4,True,False,30,sa
addition,hybsas41l2h16d0.1dr2mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,2,16,0.1,2,s4,True,False,30,sa
addition,hybsas41l4h4d0dr1mlppenolnstp30k0.001lr,0.001,0-49,0.0565,hyb,1,4,4,0,1,s4,True,False,30,sa
addition,hybsas41l4h4d0dr1mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,1,4,4,0,1,s4,True,False,30,sa
addition,hybsas41l4h4d0dr2mlppenolnstp30k0.001lr,0.001,0-49,0.0475,hyb,1,4,4,0,2,s4,True,False,30,sa
addition,hybsas41l4h4d0dr2mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,1,4,4,0,2,s4,True,False,30,sa
addition,hybsas41l4h4d0dr1mlppenolnstp30k0.0001lr,0.0001,0-49,0.0005,hyb,1,4,4,0,1,s4,True,False,30,sa
addition,hybsas41l4h4d0dr1mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,4,4,0,1,s4,True,False,30,sa
addition,hybsas41l4h4d0dr2mlppenolnstp30k0.0001lr,0.0001,0-49,0.0,hyb,1,4,4,0,2,s4,True,False,30,sa
addition,hybsas41l4h4d0dr2mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,4,4,0,2,s4,True,False,30,sa
addition,hybsas41l4h4d0.1dr1mlppenolnstp30k0.001lr,0.001,0-49,0.011,hyb,1,4,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l4h4d0.1dr1mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,1,4,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l4h4d0.1dr2mlppenolnstp30k0.001lr,0.001,0-49,0.0145,hyb,1,4,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l4h4d0.1dr2mlppenolnstp30k0.001lr,0.001,50-99,0.0,hyb,1,4,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l4h4d0.1dr1mlppenolnstp30k0.0001lr,0.0001,0-49,0.0,hyb,1,4,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l4h4d0.1dr1mlppenolnstp30k0.0001lr,0.0001,50-99,0.0,hyb,1,4,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h4d0dr1mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,1,1,4,0,1,s4,True,False,30,sa
addition,hybsas41l1h4d0dr2mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,1,1,4,0,2,s4,True,False,30,sa
addition,hybsas41l1h4d0dr1mlppenolnstp30k0.0001lr,0.0001,100-149,0.0,hyb,1,1,4,0,1,s4,True,False,30,sa
addition,hybsas41l1h4d0dr2mlppenolnstp30k0.0001lr,0.0001,100-149,0.0,hyb,1,1,4,0,2,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr1mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,1,1,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr2mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,1,1,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr1mlppenolnstp30k0.0001lr,0.0001,100-149,0.0,hyb,1,1,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h4d0.1dr2mlppenolnstp30k0.0001lr,0.0001,100-149,0.0,hyb,1,1,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h16d0dr1mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,1,1,16,0,1,s4,True,False,30,sa
