hybsas41l4h4d0dr1mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.745		eval_len50-99_acc: 0.82		eval_len100-149_acc: 0.6375		lr: 0.0001
hybsas41l4h4d0dr2mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.8745		eval_len50-99_acc: 0.904		eval_len100-149_acc: 0.8025		lr: 0.0001
hybsas41l4h4d0.1dr1mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.5575		eval_len50-99_acc: 0.5245		eval_len100-149_acc: 0.4985		lr: 0.001
hybsas41l4h4d0.1dr2mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas41l4h4d0.1dr1mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.4485		eval_len50-99_acc: 0.494		eval_len100-149_acc: 0.503		lr: 0.0001
hybsas41l4h4d0.1dr2mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.4545		eval_len50-99_acc: 0.504		eval_len100-149_acc: 0.5095		lr: 0.0001
hybsas41l4h16d0dr1mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.995		eval_len100-149_acc: 0.985		lr: 0.001
hybsas41l4h16d0dr2mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 0.991		lr: 0.001
hybsas41l4h16d0dr1mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.9405		eval_len50-99_acc: 0.9415		eval_len100-149_acc: 0.887		lr: 0.0001
hybsas41l4h16d0dr2mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.5565		eval_len50-99_acc: 0.509		eval_len100-149_acc: 0.5035		lr: 0.0001
hybsas41l4h16d0.1dr1mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas41l4h16d0.1dr2mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas41l4h16d0.1dr1mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.0001
hybsas41l4h16d0.1dr2mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.0001
hybsas42l1h4d0dr1mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.9995		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l1h4d0dr2mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.985		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l1h4d0dr1mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.9225		eval_len50-99_acc: 0.9665		eval_len100-149_acc: 0.836		lr: 0.0001
hybsas42l1h4d0dr2mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.9265		eval_len50-99_acc: 0.914		eval_len100-149_acc: 0.9385		lr: 0.0001
hybsas42l1h4d0.1dr1mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l1h4d0.1dr2mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l1h4d0.1dr1mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.539		eval_len50-99_acc: 0.497		eval_len100-149_acc: 0.5		lr: 0.0001
hybsas42l1h4d0.1dr2mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.5415		eval_len50-99_acc: 0.4975		eval_len100-149_acc: 0.5095		lr: 0.0001
hybsas42l1h16d0dr1mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l1h16d0dr2mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l1h16d0dr1mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 0.9995		lr: 0.0001
hybsas42l1h16d0dr2mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.999		eval_len50-99_acc: 1.0		eval_len100-149_acc: 0.9935		lr: 0.0001
hybsas42l1h16d0.1dr1mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l1h16d0.1dr2mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l1h16d0.1dr1mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.0001
hybsas42l1h16d0.1dr2mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.9915		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.0001
hybsas42l2h4d0dr1mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l2h4d0dr2mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.9895		eval_len100-149_acc: 0.9895		lr: 0.001
hybsas42l2h4d0dr1mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.9305		eval_len50-99_acc: 0.882		eval_len100-149_acc: 0.686		lr: 0.0001
hybsas42l2h4d0dr2mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.9155		eval_len50-99_acc: 0.913		eval_len100-149_acc: 0.918		lr: 0.0001
hybsas42l2h4d0.1dr1mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.974		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l2h4d0.1dr2mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 0.5405		eval_len50-99_acc: 0.4905		eval_len100-149_acc: 0.5125		lr: 0.001
hybsas42l2h4d0.1dr1mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.5415		eval_len50-99_acc: 0.4985		eval_len100-149_acc: 0.5085		lr: 0.0001
hybsas42l2h4d0.1dr2mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.542		eval_len50-99_acc: 0.4985		eval_len100-149_acc: 0.508		lr: 0.0001
hybsas42l2h16d0dr1mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 0.995		lr: 0.001
hybsas42l2h16d0dr2mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l2h16d0dr1mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 0.999		lr: 0.0001
hybsas42l2h16d0dr2mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 0.9975		lr: 0.0001
hybsas42l2h16d0.1dr1mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l2h16d0.1dr2mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l2h16d0.1dr1mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.0001
hybsas42l2h16d0.1dr2mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.0001
hybsas42l4h4d0dr1mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 0.8865		eval_len100-149_acc: 0.899		lr: 0.001
hybsas42l4h4d0dr2mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 0.97		lr: 0.001
hybsas42l4h4d0dr1mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.956		eval_len50-99_acc: 0.991		eval_len100-149_acc: 0.9315		lr: 0.0001
hybsas42l4h4d0dr2mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.9265		eval_len50-99_acc: 0.943		eval_len100-149_acc: 0.8965		lr: 0.0001
hybsas42l4h4d0.1dr1mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l4h4d0.1dr2mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l4h4d0.1dr1mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.52		eval_len50-99_acc: 0.502		eval_len100-149_acc: 0.5105		lr: 0.0001
hybsas42l4h4d0.1dr2mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 0.5375		eval_len50-99_acc: 0.499		eval_len100-149_acc: 0.508		lr: 0.0001
hybsas42l4h16d0dr1mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l4h16d0dr2mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
hybsas42l4h16d0dr1mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.0001
hybsas42l4h16d0dr2mlppenolnstp30k0.0001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 0.997		lr: 0.0001
hybsas42l4h16d0.1dr1mlppenolnstp30k0.001lr	reach max step			eval_len0-49_acc: 1.0		eval_len50-99_acc: 1.0		eval_len100-149_acc: 1.0		lr: 0.001
